City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
48,Pacific Grove,36.6177,-121.9166,70.0,55,1,9.08,US,2021-01-13 23:38:00
49,Karpathos,35.507,27.2132,55.4,76,96,17.27,GR,2021-01-13 23:38:35
50,Jiwani,25.05,61.7417,66.65,30,0,6.33,PK,2021-01-13 23:38:35
51,Clyde River,70.4692,-68.5914,-9.4,84,90,6.91,CA,2021-01-13 23:35:36
52,Bako,5.7833,36.5667,66.97,52,56,2.1,ET,2021-01-13 23:36:36
53,Nanortalik,60.1432,-45.2371,29.73,94,100,11.86,GL,2021-01-13 23:38:35
54,Saint-Pierre,-21.3393,55.4781,80.6,83,90,6.91,RE,2021-01-13 23:35:42
55,Dikson,73.5069,80.5464,-28.64,85,0,6.71,RU,2021-01-13 23:38:35
56,Laguna,38.421,-121.4238,68.0,68,1,9.22,US,2021-01-13 23:38:35
57,Fairbanks,64.8378,-147.7164,-2.2,78,40,2.98,US,2021-01-13 23:38:35
58,Mayo,38.8876,-76.5119,41.0,87,1,3.44,US,2021-01-13 23:38:35
59,Honiara,-9.4333,159.95,85.84,63,86,7.56,SB,2021-01-13 23:38:35
60,Idaho Falls,43.4666,-112.0341,39.99,75,40,12.66,US,2021-01-13 23:33:48
61,Severo-Kurilsk,50.6789,156.125,20.7,83,35,6.44,RU,2021-01-13 23:38:36
62,Richards Bay,-28.783,32.0377,73.81,88,96,3.36,ZA,2021-01-13 23:38:36
63,Tafo,6.7345,-1.6127,74.32,82,1,4.61,GH,2021-01-13 23:38:36
64,Essen,51.45,7.0167,37.99,92,100,1.01,DE,2021-01-13 23:38:09
65,Mnogovershinnyy,53.9353,139.9242,-15.23,88,99,3.74,RU,2021-01-13 23:38:36
66,Ulladulla,-35.35,150.4667,86.0,51,0,8.05,AU,2021-01-13 23:38:36
67,Cockburn Town,21.4612,-71.1419,77.95,80,64,17.92,TC,2021-01-13 23:37:15
68,Maceio,-9.6658,-35.7353,75.2,88,0,5.75,BR,2021-01-13 23:36:11
69,Verkhniye Kigi,55.4083,58.6044,-9.35,86,2,3.22,RU,2021-01-13 23:38:36
70,Cidreira,-30.1811,-50.2056,70.88,74,20,15.05,BR,2021-01-13 23:36:05
71,San Patricio,28.017,-97.5169,59.0,58,1,6.91,US,2021-01-13 23:38:36
72,Meulaboh,4.1363,96.1285,75.79,78,100,3.22,ID,2021-01-13 23:38:36
73,Avarua,-21.2078,-159.775,86.0,70,20,20.71,CK,2021-01-13 23:38:37
74,Taltal,-25.4,-70.4833,65.3,74,32,5.41,CL,2021-01-13 23:38:37
75,Riyadh,24.6877,46.7219,48.2,34,0,3.09,SA,2021-01-13 23:35:32
76,Zhigansk,66.7697,123.3711,-40.25,80,100,11.5,RU,2021-01-13 23:38:37
77,Kapaa,22.0752,-159.319,81.0,61,1,10.36,US,2021-01-13 23:37:51
78,Maxixe,-23.8597,35.3472,76.59,90,0,4.59,MZ,2021-01-13 23:38:13
79,Kichera,55.9375,110.0997,-16.42,77,70,2.1,RU,2021-01-13 23:38:37
80,Ribeira Grande,38.5167,-28.7,61.68,86,97,18.3,PT,2021-01-13 23:35:33
81,Barrow,71.2906,-156.7887,-5.8,77,1,20.71,US,2021-01-13 23:38:37
82,Mahebourg,-20.4081,57.7,77.0,94,75,5.75,MU,2021-01-13 23:38:37
83,Hasaki,35.7333,140.8333,33.8,86,20,1.14,JP,2021-01-13 23:38:37
84,Usevya,-7.1,31.2333,67.1,86,100,2.82,TZ,2021-01-13 23:38:37
85,Kawalu,-7.3817,108.2082,75.0,84,100,2.08,ID,2021-01-13 23:38:37
86,Hithadhoo,-0.6,73.0833,82.02,73,98,21.32,MV,2021-01-13 23:38:37
87,Pucallpa,-8.3791,-74.5539,86.0,66,20,5.75,PE,2021-01-13 23:38:38
88,Saldanha,-33.0117,17.9442,75.2,60,0,3.44,ZA,2021-01-13 23:38:38
89,Concordia,-31.393,-58.0209,82.4,39,0,10.36,AR,2021-01-13 23:37:31
90,Qaanaaq,77.484,-69.3632,-2.45,81,0,4.65,GL,2021-01-13 23:34:45
91,Alice Springs,-23.7,133.8833,91.4,24,0,6.91,AU,2021-01-13 23:34:27
