City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Yerbogachen,RU,61.2767,108.0108,-38.16,81,100,5.84,overcast clouds
142,Sept-Iles,CA,50.2001,-66.3821,33.8,74,0,4.61,clear sky
143,Bengkulu,ID,-3.8004,102.2655,75.94,82,90,3.74,light rain
144,Menongue,AO,-14.6585,17.691,62.35,77,63,1.14,broken clouds
145,Chicama,PE,-7.8447,-79.1469,74.14,69,88,6.42,overcast clouds
146,Olafsvik,IS,64.8945,-23.7142,36.72,82,100,18.28,overcast clouds
147,Arki,IN,31.15,76.9667,47.03,53,0,4.52,clear sky
148,Turukhansk,RU,65.8167,87.9833,-29.47,80,19,8.75,few clouds
149,Padang,ID,-0.9492,100.3543,75.9,68,82,4.41,moderate rain
150,Carnarvon,AU,-24.8667,113.6333,78.8,100,0,8.05,clear sky
151,Pontes E Lacerda,BR,-15.2261,-59.3353,81.39,81,100,3.83,moderate rain
152,Caraquet,CA,47.7941,-64.9386,32.0,74,19,3.44,few clouds
153,Nikolsk,RU,53.7189,46.0712,14.92,96,100,8.43,snow
154,Dawson Creek,CA,55.7666,-120.2362,44.6,42,1,26.46,clear sky
155,Moctezuma,MX,29.8,-109.6667,78.85,17,0,5.3,clear sky
156,Saint George,US,37.1041,-113.5841,62.01,18,1,0.83,clear sky
157,Galle,LK,6.0367,80.217,76.32,82,71,2.77,broken clouds
158,Provideniya,RU,64.3833,-173.3,12.67,93,100,7.4,overcast clouds
159,Miri,MY,4.4148,114.0089,73.4,100,40,8.05,light rain
160,Amapa,BR,1.0,-52.0,77.43,92,97,3.67,overcast clouds
161,Mudgee,AU,-32.5943,149.5871,57.99,44,0,12.66,clear sky
162,Porto Belo,BR,-27.1578,-48.5531,80.6,78,40,10.36,scattered clouds
163,Jiuquan,CN,39.7432,98.5174,9.81,78,100,2.39,overcast clouds
164,Lexington,US,37.9887,-84.4777,42.01,56,75,10.36,broken clouds
165,Shimoda,JP,34.6667,138.95,46.0,79,28,1.01,scattered clouds
166,Cape Coast,GH,5.1053,-1.2466,79.57,84,22,9.46,few clouds
167,Moron,AR,-34.6534,-58.6198,75.2,69,0,10.36,light rain
168,Arman,RU,59.7,150.1667,-18.27,75,25,5.79,scattered clouds
169,Sambava,MG,-14.2667,50.1667,79.57,84,94,6.58,light rain
170,Caravelas,BR,-17.7125,-39.2481,78.55,76,72,7.0,light rain
171,Husavik,IS,66.0449,-17.3389,35.6,80,90,6.91,moderate rain
172,Christchurch,NZ,-43.5333,172.6333,64.99,82,90,14.97,overcast clouds
173,Samarai,PG,-10.6167,150.6667,83.59,74,94,14.9,moderate rain
174,Vestmannaeyjar,IS,63.4427,-20.2734,44.42,87,100,23.96,light rain
175,Gamba,GA,-2.65,10.0,77.68,85,100,5.48,light rain
176,Kosh-Agach,RU,50.0,88.6667,-22.31,78,22,0.67,few clouds
177,Maceio,BR,-9.6658,-35.7353,78.8,78,75,12.66,broken clouds
178,Hithadhoo,MV,-0.6,73.0833,81.28,78,96,15.3,overcast clouds
179,Andenes,NO,69.3143,16.1194,37.4,81,75,14.97,broken clouds
180,Tiruvidaimarudur,IN,10.996,79.4521,72.57,95,52,6.58,moderate rain
181,Taoudenni,ML,22.6783,-3.9836,58.48,26,100,9.93,overcast clouds
182,Gawler,AU,-34.6,138.7333,60.01,53,60,5.01,broken clouds
183,Lagoa,PT,39.05,-27.9833,60.75,84,0,20.36,clear sky
184,Orodara,BF,10.9492,-4.9342,82.4,11,34,4.61,scattered clouds
185,Akdepe,TM,42.0551,59.3788,44.6,70,0,6.91,clear sky
186,Norfolk,US,42.1668,-71.2495,42.01,60,20,8.05,few clouds
187,Henties Bay,NA,-22.116,14.2845,71.01,80,51,2.42,broken clouds
188,Qaqortoq,GL,60.7167,-46.0333,23.0,50,75,10.36,snow
189,Lompoc,US,34.6391,-120.4579,86.0,17,17,8.95,few clouds
190,Santa Cruz Cabralia,BR,-16.2781,-39.0247,77.0,83,40,2.3,light rain
191,Fort Nelson,CA,58.8053,-122.7002,17.6,86,75,2.01,broken clouds
192,Nakkila,FI,61.3667,22.0,12.2,85,90,2.3,light snow
193,Estelle,US,29.8458,-90.1067,61.0,29,1,9.22,clear sky
194,Bagdarin,RU,54.4333,113.6,-15.29,74,88,6.08,overcast clouds
195,Berbera,SO,10.4396,45.0143,74.44,76,0,6.29,clear sky
196,Catuday,PH,16.2923,119.8062,76.08,83,6,7.05,light rain
197,Bubaque,GW,11.2833,-15.8333,78.6,73,4,11.9,clear sky
198,Quesnel,CA,52.9999,-122.5029,41.0,56,1,9.22,clear sky
199,Ola,RU,59.5833,151.2833,-18.9,76,8,6.89,clear sky
200,Shelburne,CA,44.0787,-80.2041,37.99,88,99,15.23,overcast clouds
201,Bridlington,GB,54.0831,-0.1919,30.0,88,83,5.01,broken clouds
202,Pacific Grove,US,36.6177,-121.9166,70.0,52,1,3.44,clear sky
203,Miranda De Ebro,ES,42.6865,-2.947,42.01,87,40,6.91,scattered clouds
204,Xichang,CN,27.8964,102.2634,50.0,58,96,0.72,overcast clouds
205,Maniitsoq,GL,65.4167,-52.9,18.41,86,88,8.03,overcast clouds
206,Sovetskiy,RU,61.3614,63.5842,-6.9,92,82,3.31,broken clouds
207,East London,ZA,-33.0153,27.9116,72.45,76,100,9.95,overcast clouds
208,Pisco,PE,-13.7,-76.2167,75.2,73,75,20.71,broken clouds
209,El Alto,PE,-4.2714,-81.2147,78.8,65,0,13.8,clear sky
210,Avera,US,33.194,-82.5271,57.2,82,75,8.05,broken clouds
211,Zhezkazgan,KZ,47.8043,67.7144,6.42,90,94,12.21,overcast clouds
