City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
618,Watsa,CD,66.72,clear sky,3.0372,29.5355,Hôtel Le Pacifique
619,Topeka,US,32.0,light snow,39.0483,-95.678,Capitol Plaza Hotel Topeka
620,Haukipudas,FI,12.2,light snow,65.1765,25.3523,Best Western Hotel Samantta
621,Bundaberg,AU,77.0,few clouds,-24.85,152.35,Takalvan Motel
622,Phangnga,TH,77.0,few clouds,8.4509,98.5298,Rattanapong Hotel
623,Sawakin,SD,74.28,broken clouds,19.1059,37.3321,فندق الدويم
624,Andros,GR,48.99,broken clouds,37.8333,24.9333,Micra Anglia Hotel - Andros
625,Lebedyan,RU,8.74,light snow,53.0194,39.1664,Mini-Otel' Nash Safari
626,Itarema,BR,80.4,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
627,Tefe,BR,84.2,scattered clouds,-3.3542,-64.7114,Aracati Hotel
628,Tual,ID,84.27,moderate rain,-5.6667,132.75,Grand Vilia Hotel
629,Montepuez,MZ,71.37,overcast clouds,-13.1256,38.9997,Complexo Messalo
630,Jijiga,ET,62.82,few clouds,9.35,42.8,RAMAAS HOTEL
631,Tanggulangin,ID,78.8,haze,-7.4996,112.6999,OYO 2645 Pondok Rizqi Residence
632,Matagami,CA,30.2,overcast clouds,49.7502,-77.6328,Hôtel Matagami
633,Alassio,IT,46.99,few clouds,44.0039,8.1671,Hotel Toscana
634,Comodoro Rivadavia,AR,64.4,scattered clouds,-45.8667,-67.5,Austral Hotel
635,La Ronge,CA,17.6,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
636,Villaviciosa,ES,44.01,clear sky,43.4813,-5.4357,Hotel Carlos I
637,Newcastle,AU,68.0,clear sky,-32.9272,151.7765,NOAH'S on the beach
638,Malaryta,BY,7.05,overcast clouds,51.7905,24.074,охотбаза Орехово
639,Yamada,JP,42.35,few clouds,39.4667,141.95,Iroha-ya Inn
640,Vryburg,ZA,69.69,overcast clouds,-26.9566,24.7284,Times Premier Lodge
641,Fougamou,GA,74.52,broken clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
642,Novaya Ladoga,RU,0.0,light snow,60.1025,32.3019,База Отдыха Горизонт
643,Krasnoarmeysk,RU,19.99,snow,51.0239,45.6969,"Hotel ""Your home-Balzer"""
645,Zhangye,CN,13.15,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
649,Nosy Varika,MG,78.35,overcast clouds,-20.5833,48.5333,Hotel Volazara
651,Ahuimanu,US,82.4,few clouds,21.4447,-157.8378,Paradise Bay Resort
652,Ankang,CN,40.86,overcast clouds,32.68,109.0172,安琪酒店
662,Taverny,FR,32.0,clear sky,49.0254,2.2169,Hôtel Restaurant Campanile Taverny
663,Sur,OM,66.09,clear sky,22.5667,59.5289,Sur Plaza Hotel
669,Perivolion,GR,51.01,scattered clouds,39.4206,20.0147,Santa Maria
682,Nigran,ES,50.0,clear sky,42.1415,-8.8066,Parador de Baiona
